global_sweep,window,window_sweep,degree_min,degree_max,window_terms,cumulative_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,is_best
556,2,176,2,7,116,120,4.024328254667481e-05,3.607665393030082e-05,0.0062473913202025,0.0007259287060640873,0.000709307064332288,0.00021984351351661316,0.0001432416858938697,0.00022605417773630682,0.00014277857423312422,0.00033155686986224164,1
557,2,177,2,7,116,120,4.022073789297238e-05,3.605208082405125e-05,0.006247381396274611,0.0007250886914719466,0.0007083895805504491,0.00021962064591926319,0.00014295781341323036,0.00022516223322514191,0.00014296839308702483,0.0003321244228620324,1
558,2,178,2,7,116,120,4.019828433833267e-05,3.602761233714366e-05,0.006247371326751936,0.0007242499329260685,0.0007074734166066824,0.00021939823162875143,0.00014267239320040937,0.00022427447223465026,0.00014314988944985876,0.00033267118662801663,1
559,2,179,2,7,116,120,4.017592036510605e-05,3.600324688287411e-05,0.006247361114168027,0.0007234124213845552,0.0007065585675666877,0.00021917626614310448,0.0001423854998715252,0.0002233909163119746,0.00014332324276067094,0.0003331975879533151,1
560,2,180,2,7,116,120,4.015364450053863e-05,3.5978982908322835e-05,0.006247350761020847,0.0007225761479777073,0.0007056450286273939,0.0002189547450693716,0.00014209720642166176,0.00022251158637174407,0.00014348862825194726,0.00033370404403362114,1
561,2,181,2,7,116,120,4.0131455315208516e-05,3.5954818893716e-05,0.006247340269773178,0.0007217411040040206,0.0007047327951126486,0.00021873366412059145,0.00014180758519602478,0.0002216365047962803,0.00014364621678897372,0.0003341909620935061,1
562,2,182,2,7,116,120,4.010935142154151e-05,3.593075335179056e-05,0.006247329642852911,0.0007209072809269259,0.0007038218624687425,0.0002185130191128989,0.00014151670495656676,0.0002207656887647152,0.0001437961759447336,0.0003346587417746253,1
563,2,183,2,7,116,120,4.008733147235367e-05,3.590678482717426e-05,0.006247318882653411,0.0007200746703709196,0.0007029122262608908,0.00021829280596270898,0.0001412246346781219,0.00021989915875424295,0.00014393866903894762,0.0003351077730337306,1
564,2,184,2,7,116,120,4.006539415947355e-05,3.58829118957614e-05,0.006247307991533892,0.0007192432641182612,0.0007020038821687963,0.00021807302068394072,0.00014093144101993803,0.00021903693271792485,0.00014407385580751544,0.00033553843758329493,1
565,2,185,2,7,116,120,4.004353821240245e-05,3.585913316410684e-05,0.006247296971819782,0.0007184130541055127,0.0007010968259832723,0.00021785365938538782,0.00014063718870702894,0.00021817902695416965,0.0001442018925281677,0.0003359511092045232,1
